id;dato
1;7758
4;7863
5;9084
6;10568
7;3555
8;4592
9;7266
10;2879
11;1055
12;11933
13;1261
14;2545
15;12701
16;2982
17;8193
18;6177
19;3431
20;9636
21;3030
22;2662
23;8929
24;3539
25;11139
26;2739
27;12978
29;5775
31;7345
32;13441
33;6736
34;6502
35;9920
36;6178
37;3991
38;3056
39;10988
43;2542
44;5771
48;6501
49;2156
50;3983
52;3233
53;2530
54;9265
55;9339
56;6273
58;5523
59;1594
61;10600
62;10919
63;13201
64;1434
65;8880
66;8177
68;2190
69;11646
70;3538
71;5419
72;12875
73;13042
74;8671
75;8431
76;3071
77;4536
78;9311
79;3917
81;7429
82;4161
83;11507
85;8601
86;10062
88;7675
89;2656
91;11067
93;7023
94;6705
97;5465
98;1399
