id;dato
3;11734
4;11591
6;2962
8;3697
9;7483
10;7298
12;7573
13;9295
15;10355
17;5375
18;7751
19;1978
21;8893
23;11197
24;9632
26;1280
27;6685
29;11820
30;9676
32;13405
33;12072
34;10244
35;10928
36;6786
37;10151
38;8310
40;12063
41;10898
42;12585
43;2632
44;1790
45;1242
47;5275
48;6735
49;2017
50;10216
51;2342
52;9835
53;7843
54;3286
55;10519
57;1490
58;12805
59;1998
60;9769
61;11743
62;9413
63;9905
65;1188
66;4955
67;1595
79;10565
80;1711
81;12174
82;12499
83;10155
84;5332
85;3477
86;5048
98;4414
99;3901
